r_um,h_waves_633nm,thickness_um
6.846846846846847257e+02,1.335598712260323673e+00,1.690867969721569830e+00
6.886886886886886714e+02,1.155343455523395457e+00,1.462664814692618664e+00
6.926926926926926171e+02,1.045671221370163106e+00,1.323819766254626717e+00
6.966966966966966766e+02,1.010855840894223867e+00,1.279743494572087581e+00
7.007007007007006223e+02,1.030860451189730798e+00,1.305069331206199168e+00
7.047047047047046817e+02,1.129273345849714616e+00,1.429660055845738853e+00
7.087087087087086275e+02,1.349249125332611543e+00,1.708149392671086231e+00
7.127127127127126869e+02,1.657428334305011131e+00,2.098304271230144291e+00
7.167167167167166326e+02,1.900465592550794280e+00,2.405989440169305382e+00
7.207207207207205784e+02,1.897596310652234219e+00,2.402356929285728970e+00
7.247247247247247515e+02,1.602912700510591426e+00,2.029287478846408810e+00
7.287287287287286972e+02,1.176769185470695867e+00,1.489789788805900850e+00
7.327327327327327566e+02,8.783411773458960070e-01,1.111979930519904292e+00
7.367367367367367024e+02,8.644477139316304459e-01,1.094390805837444081e+00
7.407407407407406481e+02,1.075784076666795208e+00,1.361942641060162940e+00
7.447447447447447075e+02,1.309660807186722176e+00,1.658030581898390476e+00
7.487487487487486533e+02,1.401109258826745085e+00,1.773804321674659290e+00
7.527527527527527127e+02,1.341061956882737549e+00,1.697784437413545788e+00
7.567567567567566584e+02,1.238968457489226349e+00,1.568534067181360570e+00
7.607607607607607179e+02,1.196239684328847641e+00,1.514439440360321187e+00
7.647647647647646636e+02,1.229001907607202515e+00,1.555916415030718536e+00
7.687687687687686093e+02,1.299708990614991233e+00,1.645431582118578762e+00
7.727727727727727824e+02,1.387985465790005035e+00,1.757189599690146542e+00
7.767767767767767282e+02,1.499016770095457529e+00,1.897755230940849414e+00
7.807807807807807876e+02,1.602355582499684905e+00,2.028582167444600959e+00
7.847847847847847333e+02,1.597434099337239344e+00,2.022351569760945100e+00
7.887887887887887928e+02,1.385583486571190681e+00,1.754148693999127540e+00
7.927927927927927385e+02,1.001326174570287275e+00,1.267678937005983775e+00
7.967967967967966842e+02,6.605937258526733968e-01,8.363116569294846148e-01
8.008008008008007437e+02,6.392533521208276781e-01,8.092947437849679071e-01
8.048048048048046894e+02,1.060044545110099490e+00,1.342016394109386113e+00
8.088088088088087488e+02,1.772538878989210698e+00,2.244034220800340762e+00
8.128128128128126946e+02,2.441435884675048129e+00,3.090857829998610917e+00
8.168168168168168677e+02,2.773516652806020666e+00,3.511272082452422172e+00
8.208208208208208134e+02,2.693006395082856663e+00,3.409346096174896701e+00
8.248248248248247592e+02,2.334387852169801381e+00,2.955335020846968419e+00
8.288288288288288186e+02,1.894746983409908214e+00,2.398749680996944189e+00
8.328328328328327643e+02,1.499829472803883013e+00,1.898784112569716021e+00
8.368368368368368237e+02,1.188416144329996538e+00,1.504534838721775847e+00
8.408408408408407695e+02,9.792902521073760802e-01,1.239781459167938138e+00
8.448448448448448289e+02,9.100234504610047459e-01,1.152089688283632007e+00
8.488488488488487747e+02,9.973903653197238039e-01,1.262696202494770326e+00
8.528528528528527204e+02,1.181331230267000931e+00,1.495565337518023119e+00
8.568568568568567798e+02,1.342533348335546606e+00,1.699647218992802022e+00
8.608608608608607256e+02,1.396067530869068873e+00,1.767421494080241073e+00
8.648648648648648987e+02,1.365290365242129766e+00,1.728457602396536341e+00
8.688688688688688444e+02,1.350468264025962206e+00,1.709692822256868139e+00
8.728728728728727901e+02,1.419497453379502616e+00,1.797083775978450371e+00
8.768768768768768496e+02,1.536820776370350750e+00,1.945615102884864056e+00
8.808808808808807953e+02,1.606958959306475698e+00,2.034410042481998193e+00
8.848848848848848547e+02,1.581177046751466531e+00,2.001770141187356522e+00
8.888888888888888005e+02,1.503727856577983246e+00,1.903719466427726825e+00
8.928928928928928599e+02,1.443723515168909843e+00,1.827753970203839895e+00
8.968968968968968056e+02,1.395337793257634074e+00,1.766497646264164834e+00
9.009009009009007514e+02,1.275135171039722515e+00,1.614321126536288675e+00
9.049049049049048108e+02,1.038156104269612356e+00,1.314305628005329352e+00
9.089089089089088702e+02,7.862467060589540813e-01,9.953883298706358573e-01
9.129129129129129296e+02,7.247621492866648252e-01,9.175488809969176707e-01
9.169169169169168754e+02,9.756029887197293915e-01,1.235113383719177227e+00
9.209209209209209348e+02,1.423623367628804814e+00,1.802307183418066838e+00
9.249249249249248805e+02,1.770609456149662808e+00,2.241591571485472834e+00
9.289289289289288263e+02,1.777472747222386573e+00,2.250280497983541572e+00
9.329329329329328857e+02,1.478635220377391812e+00,1.871952188997778155e+00
